score
100.0
84.0
72.0
70.0
93.0
92.0
86.0
36.0
37.0
49.0
61.0
52.0
73.0
57.0
80.0
96.0
38.0
85.0
59.0
72.0
62.0
100.0
60.0
68.0
100.0
72.0
38.0
85.0
81.0
34.0
78.0
87.0
26.0
3.0
52.0
49.0
94.0
91.0
77.0
97.0
1.0
52.0
89.0
90.0
100.0
34.0
67.0
76.0
36.0
100.0
27.0
29.0
19.0
57.0
11.0
84.0
92.0
75.0
69.0
65.0
5.0
74.0
35.0
64.0
95.0
91.0
87.0
35.0
99.0
92.0
100.0
13.0
10.0
11.0
92.0
52.0
61.0
62.0
59.0
19.0
96.0
2.0
50.0
81.0
59.0
47.0
56.0
18.0
37.0
65.0
76.0
84.0
67.0
80.0
68.0
72.0
82.0
97.0
6.0
91.0
87.0
100.0
57.0
67.0
48.0
86.0
1.0
98.0
19.0
88.0
61.0
90.0
63.0
27.0
84.0
71.0
23.0
90.0
48.0
60.0
44.0
95.0
73.0
55.0
7.0
44.0
25.0
95.0
37.0
24.0
81.0
88.0
13.0
51.0
70.0
45.0
75.0
39.0
100.0
68.0
52.0
45.0
85.0
65.0
72.0
89.0
78.0
65.0
75.0
4.0
49.0
54.0
69.0
50.0
45.0
98.0
35.0
61.0
1.0
100.0
26.0
100.0
52.0
62.0
61.0
100.0
68.0
73.0
50.0
74.0
56.0
85.0
1.0
55.0
64.0
81.0
32.0
34.0
3.0
64.0
95.0
80.0
64.0
84.0
59.0
63.0
12.0
73.0
84.0
64.0
65.0
93.0
95.0
59.0
29.0
100.0
99.0
86.0
77.0
81.0
54.0
41.0
33.0
91.0
85.0
49.0
50.0
99.0
65.0
96.0
29.0
52.0
30.0
3.0
26.0
67.0
24.0
89.0
68.0
57.0
75.0
99.0
96.0
66.0
99.0
35.0
94.0
86.0
96.0
99.0
6.0
32.0
27.0
87.0
61.0
68.0
100.0
68.0
88.0
25.0
66.0
73.0
100.0
91.0
40.0
67.0
100.0
81.0
66.0
59.0
64.0
90.0
78.0
49.0
66.0
68.0
78.0
100.0
59.0
64.0
88.0
50.0
69.0
62.0
74.0
98.0
80.0
50.0
35.0
53.0
68.0
78.0
88.0
84.0
93.0
97.0
80.0
46.0
67.0
49.0
10.0
67.0
30.0
33.0
88.0
48.0
76.0
15.0
69.0
49.0
69.0
84.0
6.0
87.0
100.0
43.0
16.0
77.0
98.0
53.0
74.0
5.0
67.0
32.0
37.0
76.0
100.0
89.0
82.0
100.0
7.0
93.0
69.0
88.0
43.0
39.0
53.0
61.0
40.0
75.0
37.0
4.0
100.0
50.0
12.0
90.0
50.0
95.0
94.0
4.0
18.0
100.0
2.0
88.0
33.0
88.0
91.0
95.0
13.0
21.0
2.0
3.0
99.0
2.0
100.0
3.0
27.0
62.0
24.0
64.0
77.0
78.0
85.0
32.0
16.0
97.0
1.0
87.0
70.0
95.0
50.0
59.0
23.0
63.0
39.0
100.0
64.0
71.0
74.0
68.0
67.0
13.0
90.0
86.0
1.0
97.0
93.0
88.0
4.0
37.0
81.0
35.0
70.0
62.0
84.0
51.0
96.0
62.0
27.0
47.0
97.0
57.0
64.0
47.0
42.0
24.0
30.0
88.0
82.0
16.0
85.0
91.0
1.0
7.0
54.0
51.0
89.0
61.0
85.0
65.0
100.0
82.0
58.0
90.0
40.0
69.0
96.0
36.0
100.0
100.0
29.0
52.0
71.0
4.0
87.0
54.0
100.0
81.0
88.0
71.0
14.0
32.0
13.0
61.0
60.0
95.0
65.0
76.0
27.0
26.0
16.0
84.0
2.0
82.0
10.0
28.0
37.0
97.0
92.0
84.0
86.0
2.0
51.0
62.0
20.0
38.0
93.0
94.0
65.0
36.0
2.0
25.0
87.0
99.0
74.0
75.0
83.0
85.0
47.0
82.0
88.0
68.0
89.0
48.0
100.0
80.0
97.0
100.0
46.0
19.0
78.0
70.0
1.0
87.0
47.0
100.0
97.0
70.0
81.0
76.0
74.0
69.0
80.0
90.0
87.0
53.0
54.0
81.0
96.0
74.0
62.0
17.0
100.0
94.0
89.0
90.0
95.0
66.0
87.0
49.0
68.0
25.0
72.0
94.0
28.0
52.0
20.0
20.0
68.0
61.0
49.0
83.0
55.0
93.0
90.0
2.0
70.0
100.0
85.0
88.0
89.0
82.0
100.0
1.0
82.0
1.0
24.0
65.0
